latitude,longitude,bright_ti4
-34.45902,150.8804,326.5
-30.39774,152.06432,347.8
-31.3728,150.689,327.5
-31.78719,148.49466,367
-42.36105,146.92848,327.4
-36.57822,145.84651,328
-34.46161,150.88301,325.7
-34.4189,147.44533,330
-31.79152,148.49356,336.3
-31.7902,148.4994,343.2
-32.52756,147.75531,341.4
-31.20573,151.90051,335.8
-32.98126,146.46045,335.6
-32.2079,146.73732,338.9
-32.20661,146.73418,346.4
-31.39579,149.65799,367
-31.40167,149.65598,336.5
-33.96225,142.63521,335.1
-31.70424,151.07483,325.1
-29.89272,150.08894,343.7
-29.8874,150.08727,329.8
-30.93985,147.71022,343.5
-30.8893,147.68613,337.7
-28.42011,148.99669,353.2
-28.41492,148.99518,340.6
-28.77446,148.37094,330.7
-29.0792,148.4827,343.3
-27.09404,146.10168,354.3
-24.65783,151.38831,335.8
-26.07135,129.4015,332.2
-26.0545,129.41046,343.7
-26.14649,129.34741,342.4
-19.43557,146.52435,367
-19.43936,146.53322,328.1
-19.43474,146.52826,354.9
-19.47269,146.5101,331.4
-19.49338,146.52377,337.1
-19.44244,146.54549,335.2
-19.48107,146.47046,355.3
-18.6139,145.71823,325.3
-19.41927,146.52081,348.2
-19.41465,146.51585,335
-20.73723,139.47871,334.5
-20.73439,139.47856,334
-22.26334,124.91321,343.6
-22.26459,124.89747,351.8
-22.25831,124.89692,336.3
-22.93831,128.18799,330.9
-22.93768,128.19452,354.3
-15.71509,143.22568,367
-15.71373,143.23254,333.5
-15.7646,137.08395,351.6
-16.11335,136.64925,367
-16.1167,136.64981,344.4
-16.11555,136.65714,346.9
-16.1189,136.6577,351.9
-16.12457,136.64359,341.9
-16.13127,136.64471,352
-15.76579,137.07645,346.6
-16.11566,136.6346,336.6
-15.76181,137.07964,349.4
-15.76359,137.06841,352.7
-16.15465,136.6712,352.1
-15.05997,144.56421,331.9
-15.05343,144.5425,330.4
-14.97675,144.8703,329.4
-14.93052,144.70064,337.2
-15.02897,144.83072,332.6
-14.95495,144.85634,331
-14.92642,144.86052,332.3
-14.89913,144.85822,342.5
-15.78614,137.07988,342
-16.11277,136.65292,349.1
-16.11393,136.64558,351.2
-15.78275,137.07932,337.7
-15.77597,137.07817,340.7
-16.15051,136.71951,342.9
-16.14831,136.71159,352
-16.2062,136.64969,353.4
-16.14354,136.65428,348.7
-16.14842,136.689,367
-14.85379,144.65169,335.9
-16.14611,136.70367,354.7
-16.15014,136.67799,339.9
-14.8176,144.64079,327.2
-14.80898,144.62909,332.8
-14.81018,144.63206,325.7
-15.76021,137.06783,339.6
-15.65466,142.13319,333.1
-16.1582,136.62665,351
-15.76099,137.04105,353
-15.75801,137.05977,352.1
-15.76378,137.04536,352.7
-15.76777,137.04219,348.5
-15.77056,137.04649,340.1
-15.78446,137.00279,367
-16.14631,136.65852,356.5
-16.14852,136.66641,352.3
-16.15092,136.6292,353.9
-16.14814,136.62498,367
-16.14536,136.62076,343.2
-14.97914,144.91362,335.3
-16.1299,136.69722,352.5
-16.1101,136.62616,352.7
-16.10853,136.62552,353.1
-16.10517,136.62495,354.9
-16.13777,136.69098,341.8
-14.98447,144.91476,328.1
-14.9938,144.92374,329.1
-15.65025,142.13232,349.1
-15.64666,142.12704,355.1
-14.99265,144.76402,327.6
-14.98469,144.74892,337.7
-14.98665,144.75044,329
-16.12712,136.69299,349.2
-16.13546,136.70567,367
-16.14112,136.69154,347.4
-16.13939,136.70256,356.4
-16.14448,136.69211,354
-16.14217,136.7068,352
-16.14391,136.69577,367
-16.14794,136.67007,355.9
-16.15187,136.66698,356.5
-15.00364,144.95813,326.9
-16.27797,136.77101,340.5
-14.97527,144.66824,326.3
-15.00153,144.66554,341.3
-14.83278,144.31862,343
-14.9563,144.87779,326.2
-14.95568,144.93788,333.3
-15.00495,144.84027,325.8
-14.56589,143.1376,346
-14.91842,144.84491,329.5
-14.91442,144.83714,325.3
-15.01613,144.86748,325.9
-14.89443,144.85397,342.9
-16.11173,136.6377,350.8
-15.07691,144.93848,325.8
-15.0773,144.923,326.7
-14.85192,144.30272,341.3
-15.04516,144.97369,337.1
-14.85628,144.31123,327
-15.03663,144.90395,331.5
-14.83672,144.32591,336.4
-14.84067,144.33328,329.8
-14.84462,144.34061,367
-14.85892,144.32484,334.2
-14.86409,144.32582,338.9
-16.23882,136.75688,338
-16.16261,136.64243,353.4
-14.86496,144.40266,347.6
-15.37455,142.30084,332.6
-14.28795,141.88541,337.3
-15.37368,142.30542,330.3
-14.84941,144.37157,367
-14.29239,141.88625,330.1
-15.35572,142.24138,348.1
-14.84936,144.34586,331.6
-14.84874,144.34894,367
-16.90311,122.7678,333.3
-15.36169,142.2462,367
-14.8617,144.39195,345.8
-14.85849,144.4081,333.9
-15.36975,142.25247,334
-15.36356,142.26074,330.1
-14.85913,144.40488,367
-14.34772,143.57346,332.9
-15.3468,142.30028,342
-15.36083,142.25076,346.4
-15.35722,142.24536,367
-14.32487,143.50545,330.4
-14.86758,144.41663,326.4
-15.36019,142.24225,343.4
-14.39112,141.59142,336.6
-14.2247,141.74045,333.9
-15.75581,137.05171,338.9
-13.30445,142.04265,331.7
-13.39316,142.63142,347.6
-13.39077,142.29242,334.7
-14.05784,142.32144,333.9
-13.15669,141.63863,330.5
-12.01135,141.86371,333.4
-13.23657,142.00191,350.2
-13.24029,142.00751,343.1
-13.24487,142.00822,349.5
-13.23486,142.01012,347.3
-13.23855,142.01566,337.9
-13.28972,142.0199,343.2
-13.29339,142.02562,338.2
-13.30532,142.03787,341.3
-13.23743,141.99709,339.7
-13.63739,143.52084,330.3
-13.52147,142.65373,343.1
-13.97263,142.37048,345
-13.51864,142.64253,333.2
-13.51011,142.6356,343.2
-12.54738,142.44984,329.4
-12.73934,142.2039,339
